Organization,Problem Statement Title,Problem Statement Description,Category,PS Number,Submitted Idea(s) Count,Domain Bucket
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",Multi User rapid dipstick phydigital Assessment/Surveys in low device environment,"""Use the existing DIKSHA quiz capability, leverage smarts of phone camera, computer vision, image processing, AI, ML to develop timed, easy and smart phygital assessment…Could the same capability help teachers make their mundane tasks like attendence, Mid-day mean recording efficient. Problem statement - After teaching a concept, can teacher develop a quick understanding of student understanding of concept, idea without needing to either conduct exam like test, or providing devices for each student to conduct online test? NDEAR DIKSHA's regularly used, existing quiz feature allows any creator on the platform to create and conduct quizzes for users to gain and check mastery of subjects. In this hackathon team will attempt to develop a solution that leverages simple phone camera of smartphone to assess entire class’s understanding when students make choices using cardboards marked with choices, by leveraging image processing, OCR capabilities, machine learning among others. Team will build rapid assessment plugin to DIKSHA content editor to administer the quiz and feed the results automatically against every student profile. Leveraging DIKSHA telemetry, teacher is able to see classroom performance instantly and aggregate data is made available as data. Leveraging DIKSHA Group capability, Registry, students are assigned individual ids and their choices are automatically tagged to learning ids. Your solution applied to early grades will ensure rapid easy testing capability to teacher which will provide understanding of individual student learning progress, enabling her to ensure entire class is moving together in their learning journey. The needs on the student’s actions be very low to ensure all students easily participate. Your solution should work in low-light environments and efforts to accommodate ambient lighting conditions in indian classrooms. You could leverage data analytics capabilities of NDEAR building blocks including DIKSHA CQUBE building blocks to develop larger dashboard of activity, achievements, anonymized and aggregate datasets that is useful for understanding activities and achievements of individual classroom. Team can explore using DIKSHA’s SARAL capabilities for bring unique phygital variation to the assessments.""",Software,AK1090,6,Smart Education
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",Every Classroom a Digital Classroom,"""Create Online or Offline digital classrooms with low cost, easy-to-use, easy-to-maintain Raspberry Pi devices Context: Digital classrooms open up a world of resources to both teachers and students. They provide teachers the agency to create powerful immersive classroom experiences. It’s a proven fact that students are more engaged in a smart class. However, smart classes are expensive to set up and maintain and, may require additional separate space. Availability of a steady Internet connection is also a problem in many areas. Problem statement: The hackathon team should develop a solution using a reference solution like cheaper and small form factor devices like Raspberry Pi and such and develop a solution to have fully offline solution which can act as both server to serve content, act as data aggregator as well as become device connect with national infrastructures.. Description: The solution shall include the following capabilities.. Solution should have low footprint, cheap and easy to maintain by the locally available resources and skillsets. All parents, students could bring their individual devices to school to sync content with the local server and synchronize data of usage. Solution provides capability for content repository function capable of keeping copy of grade level textbook linked content locally leveraging NDEAR DIKSHA content APIs thus helping all students to synchronize data from their respective devices. Solution should also provide a complete Digital classroom experience - capable of running NDEAR DIKSHA offline solutions..""",Software,AK1091,16,Smart Automation
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",Multi User rapid dipstick phydigital Assessment/Surveys in low device environment,"""Use the existing DIKSHA quiz capability, leverage smarts of phone camera, computer vision, image processing, AI, ML to develop timed, easy and smart phygital assessment…Could the same capability help teachers make their mundane tasks like attendence, Mid-day mean recording efficient. Problem statement - After teaching a concept, can teacher develop a quick understanding of student understanding of concept, idea without needing to either conduct exam like test, or providing devices for each student to conduct online test? NDEAR DIKSHA's regularly used, existing quiz feature allows any creator on the platform to create and conduct quizzes for users to gain and check mastery of subjects. In this hackathon team will attempt to develop a solution that leverages simple phone camera of smartphone to assess entire class’s understanding when students make choices using cardboards marked with choices, by leveraging image processing, OCR capabilities, machine learning among others. Team will build rapid assessment plugin to DIKSHA content editor to administer the quiz and feed the results automatically against every student profile. Leveraging DIKSHA telemetry, teacher is able to see classroom performance instantly and aggregate data is made available as data. Leveraging DIKSHA Group capability, Registry, students are assigned individual ids and their choices are automatically tagged to learning ids. Your solution applied to early grades will ensure rapid easy testing capability to teacher which will provide understanding of individual student learning progress, enabling her to ensure entire class is moving together in their learning journey. The needs on the student’s actions be very low to ensure all students easily participate. Your solution should work in low-light environments and efforts to accommodate ambient lighting conditions in indian classrooms. You could leverage data analytics capabilities of NDEAR building blocks including DIKSHA CQUBE building blocks to develop larger dashboard of activity, achievements, anonymized and aggregate datasets that is useful for understanding activities and achievements of individual classroom. Team can explore using DIKSHA’s SARAL capabilities for bring unique phygital variation to the assessments.""",Software,AK1092,4,Smart Education
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",National School Water Monitoring System,"""School children build, maintain and operate the national school water quality system leveraging the power of DIKSHA Telemetry and Tinkering Labs Use low cost IOT devices to implement water quality testing system at school, use NDEAR DIKSHA telemetry specifications to routinely monitor water quality, develop national dashboard leveraging NDEAR data analytics and dashboarding capabilities including CQube capabilities of DIKSHA. Solution could be architected to extend to other sensors that could measure various parameters of interest. Solution should be easy to build, maintain and upgrade.""",Software,AK1093,8,Smart Automation
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",Augmented Reality Search - Taking ETB's One Step Ahead,"""Scan virtually anything in the textbook to discover relevant DIKSHA content. Encourage curiosity and learning. Context: The QR codes introduced in Energized Textbooks (ETBs) improved content discovery for students. It bridged the digital and real world by allowing digital content to be placed in a physical format.Currently, DIKSHA content is accessed in the real world through these ubiquitous QR codes placed in all textbooks. Problem Statement: Using certain algorithms and Natural Language Processing (NLP) capabilities, the team can create a plugin into DIKSHA that allows students to scan almost anything in the textbook, (e.g. images or diagrams) and fetches relevant DIKSHA content or content from relevant sources from internet. The idea is to mimic our natural and organic methods to question things and be curious. Tapping into natural curiosity; a student is encouraged to point the DIKSHA scanner at anything and everything in the textbook. Encouraging participatory learning and creating a seamless experience.""",Software,AK1094,7,Smart Education
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",Bringing power of AI/ML to aid of teacher in a classroom,"""Context: Teachers spend a lot of time in class updating records which are essential for managing large scale schooling operations in the country comprising of 23 crore students. Technology has made deep inroads into the hands of teachers with most of them having access to basic smart phone at the minimum. Teachers and administration staff in schools routinely have to update mid-day meal consumption data, attendance, and other relevant information including distribution of uniforms etc. Problem Statement: Could AI/ML based OCR/OMR technology be used to help automate attendance and other school data records Description: Use Computer vision, OCR/OMR to solve for digitizing attendence, tracking mid-day meal data and other similar book keeping activities leveraging basic digital devices available to the teacher. Leveraging NDEAR OCR/OMR building block, NDEAR Language translation block; Improvising if required leveraging the relevant NDEAR building blocks such as Saral, NDEAR Registries. Establish national/state reference dashboard to aggregate data leveraging the NDEAR building blocks..""",Software,AK1095,16,Smart Education
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",Teaching- Learning Marketplace/Volunteer matchmaking,"""Context: Students have doubts almost everyday on multiple topics and they are never able to get them resolved just in time. They usually need to ask the teacher the next day in school and teachers are never able to help each child and many students feel shy to ask questions in public. Similarly, teachers or even parents may want some guidance or expertise in specific concepts/skills/topics Problem Statement: Empower students/teachers/parents/community at large to discover experts and seek expertise in online/offline modes. Description: Ability to identify experts across sectors within a particular geographical area/across geographies Verification of expert to be a trusted expert Incentivization for experts to get a platform Experts can also share content via DIKSHA’s Viduadaan platform OoSC children can also gain access to tutors/experts""",Software,AK1096,26,Smart Education
"National Institute for Empowerment of Persons with Multiple Disabilities (NIEPMD), Ministry of Social Justice & Empowerment.","""Simplifying Attendance during Examination & Evaluation process through Online tracking process.""","""Build a web application to simplify Examination, Attendance and tracking Evaluation process Students commit errors while filling up the attendance detail may lead to greater difficulty in identifying the answer booklets at the time of Evaluation process. Technical staff / Support staff at examination center may also commit errors while typing answer booklet numbers. It becomes greater difficulty while decoding the Barcodes of the answer booklets. The Web application /Mobile application may be introduced to get the attendance detail (Present/Absent) and it can be linked with the student data for the purpose of attendance entry. """" The same data may also be shared to the Evaluation center for Coding and Decoding of the Answer booklets""",Software,NR1097,22,Smart Automation
"National Institute for Empowerment of Persons with Multiple Disabilities (NIEPMD), Ministry of Social Justice & Empowerment.","""Surveillance of HRD student trainees in Campus & Hostel Campus to regulate In & Out Movements.""","""Build a web application / Mobile application to Track / Monitor students movement in campus and hostel premises 1. The Web application/Mobile application may be useful to track/ monitor (In / out) movement of students. 2. It captures in-time & out-time of student movement in the hostel premises. 3. Parent's mobile number may also be linked with the application. 4. The movement details of the students may be communicated to the parents' mobile nur-nber through SMS. 5. The Attendance details of the students in classes (Theory & Practical) may also be communicated to parents. 6. Students leaving for holidays from College / hostel may also be communicated to parents.""",Software,NR1098,31,Smart Automation
"National Institute for Empowerment of Persons with Multiple Disabilities (NIEPMD), Ministry of Social Justice & Empowerment.","""To automate and compute the detection of possible vulnerability to Depression before its onset""","""As per WHO, Depression is a leading cause of disability worldwide and is a major contributor to the overall global burden of disease. With the rising spread of COVID19 and peak in the awareness of mental health, there is a vast increase in the subclinical population. The earlier the detection, the earlier can intervention stunt the symptoms. Using machine learning, the process is quick and shows higher accuracy. To develop a high-accuracy Computer Aided Diagnosis Model using Support Vector Machine Learning (SVML). This Model should measure DTI MRI scans of mood- affected and non-affected individuals. It should read the structure and neural connections of the brain of individuals with Depression (as per ICD10). The, expected accuracy of the model should be 75% and above. The accuracy of the model should be evaluated using supervised methods to evaluate the three dimensional vectors and quantify the dominant fiber orientation. A suitable and large dataset requires to be procured to work on this problem statement.""",Software,NR1099,26,MedTech / BioTech / HealthTech
North Eastern Cane and Bamboo Development Council (NECBDC).,Development of Dynamic website of NECBDC,"""Our present website (www.necbdc.org.in) is lacking the following in accordance to the present day requirement: 1. Regular web content updates (Events, Trainings, project Reports, News Articles, Other Docs and Report, Advertisements, Press Releases and News other contents in other pages) couldn't be done as it was static and was purely dependent on the external Developer team. 2. Was not compatrble with multi device platform (Desktop / Tab / Mobile). 3. No social media handles integration. 4. Photo Gallery & Video Gallery is not attractive. 5. Was not user-friendly. 6. Unavailability of Sitemap 7. Unavailability of Search Feature""",Software,MG1100,36,Smart Automation
North Eastern Cane and Bamboo Development Council (NECBDC).,Explaining the famous products of NER,Design and come up with system or provision which could help showcase the specialities of a particular region in intuitive manner.,Software,MG1101,9,Smart Automation
North Eastern Cane and Bamboo Development Council (NECBDC).,lnformation regarding activities of various in Ministries / Department in NER,"""Pertaining to the challenges relevant to our static website, regular updates for MoUs, Collaborations & Joint Ventures couldn't be regularly updated in our present website. Design and develop and push notification based system which can publish latest updates to relevant groups efficiently""",Software,MG1102,7,Smart Automation
North Eastern Cane and Bamboo Development Council (NECBDC).,Skill Development training for unemployed youths of NER,"""Challenges has been faced in lntroduction of PMKVY aligned Skill Development courses in our training calendar. Better Handholding frorn NSDC is necessary. On the communication front: Reaching out to the unemployed youths or candidates (Either who have been trained under NECBDC or future candidates) has been an humungous task always as there has been always a challenge of maintaining a secured & robust database. Sharing information also has been too challenging due to requirement of one to one communication with each and every candidate. We are proposing a module to be incorporated in our Website / Web Porta'l (www.necbdc.in) which will have dedicated registration feature for the candidates as well as user-interactive triendly features (Chatbox, SMS alerts, Email alerts, Whatsa alerts etc.""",Software,MG1103,11,Smart Automation
"Department of Telecommunications (DoT), Ministry of Communications.",Solution to identify spoofed call received by General public.,"""Caller ID spoofing is the practice of causing the telephone network to indicate to the receiver of a call that the originator of the call is a station other than the true originating station. This can lead to a caller ID display showing a phone number different from that of the telephone from which the call was placed. More information is available at https://en.wikipedia.org/wiki/Caller_ID_spoofing. Some websites and mobile applications are available, which provides call spoofing service. In India, generally such calls are coming through International gateway with the CLI of the intended person (spoofed CLI) to recipient. Generally, such calls are made by fraudster with the intention of cheating called party (recipient). Calling party gets the CLI as mentioned by fraudster on his mobile device. If that CLI is stored in recipient mobile then the name will also be displayed. General public gets cheated with such call spoofing. We need solution such that whenever general public receives spoofed call from international route he shall be notified that the CLI is spoofed and the person whose CLI is displayed on recipient mobile device is not the person calling him. We need to consider following while formulating solutions: 1) Such calls are coming through international gateway and some solution needs to be implemented at those gateways. 2) There are some genuine numbers are also coming through international gateway and CLI of those number shall not be disturbed. 3) If a Person having Indian Mobile number, roaming outside India, makes a call to India, CLI will be exactly like India Numbering series. Such CLI shall also not be disturbed.""",Software,RK1104,6,Miscellaneous
"Department of Sports (DoS), Ministry of Youth Affairs & Sports.",Prohibited substances and Therapeutic Use Exception (TUE) for sportspersons. TUE is granted if the drugs have been prescribed by an authorized doctor to the athlete.,"""Unknowingly sports persons tend to consume drugs containing prohibited substances which can result in positive dope test. Build a web/ mobile application for sports community to identify the Prohibited substances and Therapeutic Use Exception.1. To create awareness among the emerging sports persons to identify the Prohibited substances and Therapeutic Use Exception. 2. To avoid prohibited drug in lack of knowledge of doping in sports. 3. Significance of TUE doping in sports. 4. To create a social platform for general and sports persons.""",Software,AK1105,23,Fitness & Sports
"Department of Sports (DoS), Ministry of Youth Affairs & Sports.",Anti doping awareness cum sensitization through Gaming App,"""India is a big country and few people know about the health hazards related to doping the young and adolescent persons are very enthusiastic about their fitness and good looks. For the purpose of outreach amongst the youth, the gaming platform is very popular and convenient. Through the gaming app, a lot of information about the ill effects of doping, about the ethical values involved in sports and fair play concept in sports can be promoted. If we can develop an interesting gaming app/ platform involving the ethical values and morals, such as to obey sporting rules, respect team spirit, participate in a fair play environment, do short stories on clean sports, and on the responsibilities of a sportspersons etc., then it will be very useful for budding athletes at the grass root level. Objectives are 1. To develop online gaming app incorporating features of anti doping awareness 2. The proposed app should be user friendly, easy to access for youth and adolescents.""",Software,AK1106,13,Fitness & Sports
"Department of Sports (DoS), Ministry of Youth Affairs & Sports.",Promoting Fitness through Gamification,"""For the success of Fit India movement, it is critical that the message disseminates to every part of the country. Achieving an ambitious task of such scale would require the utilization of a highly scalable, reliable and affordable messaging medium which is also easily accessible to the larger section of society. In the modern day and age, Smartphone apps provide the perfect platform to implement the vision of Fit India and make it a truly national movement. India has an estimated Smartphones user of more than 500 million with an urban penetration of close to 65%. Smartphone users are spread across the entire demographic of the population which makes it the perfect vehicle for reaching out to every section of society with a common message. Objectives are 1. Design and develop a mobile application for tracking the physical activity of each user. 2. Develop a framework for providing credits/ points to each suer based on their physical activity assuming each user will engage in different kind of physical activities such as walking, running, cycling, calisthenics, functional training, weight training etc. 3. The proposed application should integrate seamlessly with existing popular mobile applications available in the market 4. Devise mechanism to provide social recognition and rewards to most physically active users through social media integration 5. Create an online community of active users participating in different physical activities by adopting different techniques for user engagement and user retention on the platform.""",Software,AK1107,44,Fitness & Sports
"Department of Sports (DoS), Ministry of Youth Affairs & Sports.",Use AR/VR to improve athlete performance,"""Leveraging augmented reality (AR) and virtual reality (VR) to improve athlete performance by helping them train in a realistic environment. Objectives are 1. Design an immersive learning platform or mobile application which allows players to practice and train anytime and anywhere. 2. Proposal solution to have simulations for different sporting environment such as field, court, track etc. 3. The solution should provide realistic visuals with the help of VR and should be able to recognize repetitive patterns for course correction""",Software,AK1108,22,Fitness & Sports
"Department of Sports (DoS), Ministry of Youth Affairs & Sports.",Wearable sensors for Sports Biomechanics Application,"""Sport biomechanics represents an important research field aimed at analyzing sport movements in order to quantitatively evaluate athlete performance, offer useful tools and guidelines for coaches to apply during athlete training and prevent or minimize the risk of injury. Recent technological innovations allow the performance of movement analysis during sporting activities thanks to the compact wearable sensors that do not influence the technical movements of athletes. Objectives are 1. Develop cost effective wearable bionic sensors to track functional movements, workload, biomechanical and bio-vital markers with an objective to maximize athlete performance and minimize injury prevention. 2. Proposed wearable sensors should provide continuous physiological data to enable development of player specific training programs 3. Proposed wearable sensors should not be constrained with wires to allow unhindered movement by athletes. 4. The wearable sensors should be designed and developed for getting embedded in sports apparel used by athletes.""",Hardware,AK1109,36,Fitness & Sports
"Department of Sports (DoS), Ministry of Youth Affairs & Sports.",Creation of a GIS-based National Inventory of Sports Infrastructure,"""There are numerous playfields and sports infrastructure of various categories in the States and UTs across the country, with diverse ownerships and managements. However, there is neither any comprehensive inventory/directory available at the State/UT level nor any single database system at the national level having pan-India information. Therefore, there is a need to devise a GIS-based platform for a master inventory of playfields and sports infrastructure to enable their optimum utilisation and planning for filling the gaps. Objectives are - 1. Every State/UT has a range of playfields and various categories of sports infrastructure spread across the districts which may be owned by the Government as well as the private sector and other bodies and organisations. 2. Currently, there is a conspicuous lack of an easily accessible and exhaustive inventory at any level containing all relevant details of each playfield/sports infrastructure. 3. The pan-India inventory of all categories of sports infrastructure will have all relevant details for each infrastructure satisfying the benchmark standards (to be defined) including the GIS specifications with various available filters to sort/segregate the data. 4. There will be a need to physically visit and ascertain all the specifications/fields (to be defined – like, complete address, sports disciplines covered, equipments available, timings, ownership, size, contact details, geo-coordinates, etc.) 5. The database should lead to the development of an App (Android and iOS). 6. The database/App will be accessible to all citizens and should be able to capture the data regarding usage, visits, etc. 7. To be managed by MYAS.""",Software,AK1110,12,Fitness & Sports
"Department of Sports (DoS), Ministry of Youth Affairs & Sports.",Digitalisation of the application process for sports infrastructure under Khelo India Scheme,"""The Khelo India Scheme provides for creation/upgradation of different categories of sports infrastructure on the basis of proposals received from the State/UT Governments and other eligible entities. The proposals inter alia consist of a detailed project report and other requisite documents as per the formats delineated in the Operational Guidelines of the Scheme. The Ministry receives a multitude of such proposals throughout the year. These proposals are subjected to a detailed screening and appraisal process before getting approved following the due procedure as laid down in the Scheme. The whole process is not only time-consuming and lacks transparency but also involves huge paperwork and manual processing. There is thus a need to devise an online mechanism for the application process. 1. It is envisaged to digitalise the process of applying for the sanction of sports infrastructure projects under the Khelo India Scheme by the eligible entities. 2. The digitalisation process will entail filing online applications and requisite documents in the prescribed formats by the eligible entities only. 3. The digitalisation should facilitate the first round of screening online and eliminate/reject non-eligible entities and incomplete proposals at the application stage. 4. The project proponents should be able to get an acknowledgement and the current status of their proposals. 5. The System should be able to send the complete proposals to for technical vetting and appraisal. 6. The Systems Manager should be able to view the available data in terms of various available options. 7. The proponents should be able to view the information only in respect of their respective proposals. 8. The digitalised application process may also have an App-based platform. 9. The various fields in the application should be made as objective and quantifiable as possible. 10. The database should have all relevant details of all the previously sanctioned projects which should be completely visible to the Ministry and selectively to the applicants.""",Software,AK1111,23,Fitness & Sports
"Central Water Commission (CWC), Ministry of Jal Shakti",Drought Information and Management,"""Though shortage of water triggers drought, it has been classified into various types viz., meteorological, hydrological, agricultural for better understanding, monitoring and management. Drought is characterized by its creeping onset and withdrawal and there can't be any definitive beginning or end of its occurrence. What is considered as a drought like condition in a particular climatic setting may not be considered to have the same impact in another climatic setting. Effective management and mitigation of drought impacts are not easy due to such ambiguities. Drought Management (2016) of the Ministry of Agriculture & Farmers' Welfare, Govt of India has desired that declaration of drought by the State Governments should be supported by the matrix-based analysis based on rainfall indices, hydrological indices, vegetative indices, progression of crop sowing and other parameters. (Ref:http://agricoop.nic.in/sites/default/files/Manual%20Drought%202016.pdf). Further, National Crisis Management Plan for Drought (2019) suggested a framework of crisis analysis with vulnerability magnitude, on a scale of 0-10, as area specific measure with appropriate strategic response matrix. (Ref: http://agricoop.nic.in/sites/default/files/CRISISMANAGEMENT- PLAN 2019.pdf) With the available information and forecast by agencies on rainfall, soil moisture, surface and groundwater levels, colour coded areas may be generated using google maps for display of vulnerability magnitude for the whole country at district/sub-district level. It may also be designed as easily accessible stand-alone App which can generate location specific notifications to the common user. It will aid in better monitoring and management of portents of drought by inter-ministerial Crop Weather Watch Group (CWWG) and State Drought Monitoring Centres (DMCs) apart from disseminating information to the general public.""",Software,RK1112,9,"Agriculture, FoodTech & Rural Development"
"Central Water Commission (CWC), Ministry of Jal Shakti",Water Availability based Crop-specific,"Agriculture is the major source of livelihood for majority of our population. However, farming done in an unscientific manner owing to lack of awareness leading to lower productivity and over exploitation of the scarce water resources. For example, rice cropping is started even before the onset of monsoon by extracting the ground water resulting in ill effects on the ground water table and quality, wasteful consumption of energy and water logging conditions. A Government to Citizen (G2C) app may be developed for Water Availability based Crop-specific Farming Advisory integrating soil health card data, rainfall forecast data and information about local surface and ground water resources. This will advise the farmers to follow a particular cropping pattern based upon time of the year, geographical location and keeping in view sustainable use of locally available water resources.",Software,RK1113,40,"Agriculture, FoodTech & Rural Development"
"Central Ground Water Board (CGWB), Ministry of Jal Shakti",User friendly data visualization tool for interpretation of groundwater isotope data,"""Stable isotope data can contribute to a better understanding of groundwater recharge process, estimation of evaporative effects, characterization of the catchment area, surface water groundwater connection and groundwater mixing properties which are crucial for improved groundwater management. Over a period of more than four decades, a large number of isotopic measurements on groundwater have been made in different parts of the country in connection with several local investigations. Centralized data repositories have become increasingly important as a means for archiving information and analytics of the resources. However, to date a centralized database for the management of groundwater isotope data doesn't exist. A web interface and an associated App may be designed which provides a comprehensive compilation of stable isotope groundwater data. Key information stored may include hydrogen and oxygen isotope ratio, water type, collection date and time, site location, project information etc. Data Source: Information on stable isotope groundwater data will be provided by CGWB and other research organizations. Expected Outcome: A web based searchable database on Isotope data. Collection of stable isotope data from public domain. Development of Visualization tools. Innovative approach may be attempted to: Create maps and graphs which can be used for the interpretation of the stable isotope values of groundwater.""",Software,RK1114,13,"Agriculture, FoodTech & Rural Development"
"Central Ground Water Board (CGWB), Ministry of Jal Shakti","Standalone desktop application for analysis, visualization and interpretation of hydro chemical data.","""Characteristics of cations and anions in groundwater represent the unique physiochemical characteristics caused by the groundwater's interaction with rock and soil while flowing in the aquifer. Understanding of the hydro chemical characteristics and evolution of groundwater is significant for rational management of groundwater resources. Various diagrams such as piper diagram, durov diagram, gibbs diagram, chadah diagram etc. are used to represent hydro chemical data. Major problems with these diagrams are calculation and plotting coordinates is a tedious and time consuming process. An open source desktop application may be designed for effortless analysis, visualization and interpretation of hydro chemical data. Central Ground Water Board proposes to develop a standalone desktop application for analysis and interpretation of hydrochemical data which can be distributed as freeware for use by ground water professionals, researchers, students, teachers and others. Data Source: Professionals using the software application will enter the data. The user can choose to enter the data directly using forms or import it from existing data sources. Some basic data like molecular weights of constituents etc are to be collected from public domain. Information like drinking water standards will be provided by CGWB. Expected Outcome: A standalone desktop application for analysis and interpretation of hydrochemical data. Simple interactive tools for analysis of hydro chemical data, their visualization, basic statistics, scatter plots, suitability of water for various purposes. Interactive tools for preparation of standard hydrochemical diagrams like Hill-Piper Diagram, Durov Plot, USSL diagram etc. Innovative approach may be attempted to: Develop interactive tools for analysis and interpretation, assessing suitability of water for various purposes, diagrammatically represent and classify water samples etc.""",Software,RK1115,5,"Agriculture, FoodTech & Rural Development"
"National Water Mission (NWM), Ministry of Jal Shakti",Use of digital technology or making physical prototype for micro irrigation system to improve Water Use Efficiency of Irrigation sector.,"""India's ground water (GW) levels are critically low, owing to erratic monsoon rains and over extraction of water for irrigation, with agriculture accounting for 90% of India's G more than 30 million irrigation pumps. These irrigation systems are inefficient with poor water flow control, which over-extracts GW and over irrigation of fields. This wastes water and reduces crop yields. At the same time it wastes energy in pumping water and this leads to higher CO2 emissions. 10 millions of these pumps rely on diesel fuel, while the rest are powered by subsidized electricity which is coal-fired, using more than 18% of all electricity generated in India (Indian Bureau of Energy Efficiency). Agriculture sustains 50% of Indian households, and low GW levels threaten livelihoods and food security. Water scarcity is inextricably linked to extreme poverty and conflict and has a profound impact on the social welfare of people with an estimated 330 million people suffering acute water shortages. Improving the efficiency of the irrigation systems will reduce pressure on ground water and also cut energy consumption and carbon emissions. This has prompted the Indian Government to prioritize drought proofing and usage of précised irrigation systems,""",Hardware,RK1116,84,"Agriculture, FoodTech & Rural Development"
"National Water Mission (NWM), Ministry of Jal Shakti",Need to develop digitally the dynamic model to integrate the impact of climate change (CC) indicators with assessment of vulnerability and adaptation at localized scale for agriculture sector,"Climate change stances a major threat to the environment and to the farmers. Farmers whose livelihoods evolved around rain-fed agriculture and are living in semi-arid areas of India are extremely vulnerable. The direct impacts of climate change as well as the ability to cope and adapt to the negative effects and harness the beneficial effects associated with climate change is highly differentiated and context-specific to local scale. In addition, climate change is not the only factor defining vulnerability but rather in conjunction with other non-climatic factors. Therefore, understanding the impact of climate change, assessment of vulnerability and adaptation at local scale is crucial. Despite the importance of vulnerability assessment to identifying which populations and localities are most vulnerable and most resilient to climate risks, very few is known about the dynamics of vulnerability and adaptation among farming households in semi-arid regions of India to multiple stressors (lack of rainfall data, floods, droughts, high temperatures, pest infestation, low soil fertility, livestock disease and bush fire). For instance, very little is known about how gender and social configurations of households and communities contribute to vulnerability and adaptation capacities, preferences and strategies.",Software,RK1117,9,"Agriculture, FoodTech & Rural Development"
"National Mission for Clean Ganga (NMCG), Ministry of Jal Shakti",Develop a digital platform for assimilating data of operational performance of existing STPs/ CETPs/ ETPs through creation of data exchange interface and flashing messages against defaults Problem Statements:,"""The largest source of pollution in Ganga is flow of untreated municipal sewage. The goal of achieving Nirmal Dhara is impossible without building sufficient infrastructure to prevent untreated waste water entering into the river. Under Namami Gange, a total of 151 sewerage infrastructure projects have been sanctioned to create/ rehabilitate 4874 MLD treatment capacity in the Ganga basin. In addition, the mission has done conditional assessment and feasibility study of old infrastructure and taken steps to rehabilitate and upgrade, wherever feasible. The scaled up and assured funding under Namami Gange enabled comprehensive and aggressive interventions. A total of 315 projects have been sanctioned under Namami Gange programme. 130 projects have been completed and the remaining are in progress. The issue is just not with the construction or rehabilitation of STPs but also their performance. Every STP installed has design parameters for Biological Oxygen Demand (BOD) and Total Suspended Solids (TSS). Another problem with STPs is that they are not able to get the total amount of influents, primarily due to lack of sewerage network in the city. Digital solution based platform/dashboard can be developed for assimilating data of operational performance of existing STPs/ CETPs/ ETPs through creation of data exchange interface and flashing messages against defaults Prerequisites: • Water treatment is functional or not • Inlet and outlet water quality parameter • User friendly solution dashboard and massage interface Solution: • Develop real time dashboard • Live operational monitoring on the dashboard of treatment plant Sample Data Required: https://bhuvan.nrsc.gov.in/governance/mowr ganga.php http://35.154.100.225/NMCG/nmcgpmtmain.aspx""",Software,RK1118,4,"Agriculture, FoodTech & Rural Development"
Ministry of Chemicals and Fertilizers,Statistics and Monitoring Web Application to capture Online,"Presently, production data is being captured based on offline data provided via e mail or by post. A need is Petrochemicals Production Data arisento capture monthly productiond at a online from the Chemical and Petrochemical manufacturingunits. The online automated system in a way that manufacturing units canaccess the portal with their respective user name id and password and canget their respective unit & detail / information and upload data information timely. The system will be developed to enable the registered manufacturer companies to login into the system and make the desired data entered. This system may allow authorized persons of the manufacturing unit to enter statistical information. Any subsequent revision can be done by Administrator on the upgraded online automated System, i.e. S&M Division officials of the Department of Chemicals & Petrochemicals. The system should be capable of “on- the-fly” data capture configuration change in such a way that various checks and validations can be configured and put in place to minimize the data entry errors from manufacturing units.",Software,PN1119,7,"Agriculture, FoodTech & Rural Development"
"Ministry of Micro, Small & Medium Enterprises (MSME).",IoT based sensors can be used to determine the Machine Runtime,"""IoT based sensors can be used to determine the Machine Run time, idle time and utilisation and should project the same data in a dashboard to give status, power consumption and real time machine utilisation. Developing such solutions for MSMEs like: (i) IoT for acoustic leak detection, to be installed in hazardous and high flammable zones. (ii) Developing IoT based smart agriculture to manage, improve productivity and efficiency of small farms. Various parameters of soil type/ health, climatic conditions and irrigation management should be measured with simple devices placed in the farm, data stored in the cloud to be accessed by the user at any time and changes in the irrigation to be made according to the plant and needs to maximize water usage, improve productivity, reduce labour etc. (iii) To monitor and reduce water consumption during various processes (iv) To find out major causes of machine breakdown (v) To give preventive maintenance updates in real time (e.g. to assess when the motor heating too much, bearing vibration is high, etc.)""",Software,RK1120,18,Smart Automation
"Ministry of Micro, Small & Medium Enterprises (MSME).",Developing Virtual Reality based solutions,"""Developing Virtual Reality based solutions in areas like: (i) Creating a virtual showcase/display centre of industrial products – developing solutions for one type of industry like garments, shoe industry etc. (ii) VR solution for emergency rehearsals like fire, flood etc. Provide safety training using Virtual Reality. (iii) Education tools for educating industries in utilization of power by developing virtual reality, augmented reality based solutions. (iv) Developing VR based solution for Construction Company to show the project plan and interior and exterior look. (v) Virtual reality solution for healthcare sector especially for training the new medical practitioner and Para Medical Staff.""",Software,RK1121,19,Smart Education
